iso3,cholera,meningitis,yellow_fever
AFG,TRUE,FALSE,FALSE
AGO,TRUE,FALSE,TRUE
ALB,FALSE,FALSE,FALSE
AND,FALSE,FALSE,FALSE
ARE,FALSE,FALSE,FALSE
ARG,FALSE,FALSE,TRUE
ARM,FALSE,FALSE,FALSE
ATG,FALSE,FALSE,FALSE
AUS,FALSE,FALSE,FALSE
AUT,FALSE,FALSE,FALSE
AZE,FALSE,FALSE,FALSE
BDI,TRUE,TRUE,FALSE
BEL,FALSE,FALSE,FALSE
BEN,TRUE,TRUE,TRUE
BFA,TRUE,TRUE,TRUE
BGD,TRUE,FALSE,FALSE
BGR,FALSE,FALSE,FALSE
BHR,FALSE,FALSE,FALSE
BHS,FALSE,FALSE,FALSE
BIH,FALSE,FALSE,FALSE
BLR,FALSE,FALSE,FALSE
BLZ,FALSE,FALSE,FALSE
BOL,FALSE,FALSE,TRUE
BRA,FALSE,FALSE,TRUE
BRB,FALSE,FALSE,FALSE
BRN,FALSE,FALSE,FALSE
BTN,FALSE,FALSE,FALSE
BWA,FALSE,FALSE,FALSE
CAF,FALSE,TRUE,TRUE
CAN,FALSE,FALSE,FALSE
CHE,FALSE,FALSE,FALSE
CHL,FALSE,FALSE,FALSE
CHN,FALSE,FALSE,FALSE
CIV,TRUE,TRUE,TRUE
CMR,TRUE,TRUE,TRUE
COD,TRUE,TRUE,TRUE
COG,TRUE,FALSE,TRUE
COK,FALSE,FALSE,FALSE
COL,FALSE,FALSE,TRUE
COM,FALSE,FALSE,FALSE
CPV,FALSE,FALSE,FALSE
CRI,FALSE,FALSE,FALSE
CUB,FALSE,FALSE,FALSE
CYP,FALSE,FALSE,FALSE
CZE,FALSE,FALSE,FALSE
DEU,FALSE,FALSE,FALSE
DJI,TRUE,FALSE,FALSE
DMA,FALSE,FALSE,FALSE
DNK,FALSE,FALSE,FALSE
DOM,TRUE,FALSE,FALSE
DZA,FALSE,FALSE,FALSE
ECU,FALSE,FALSE,TRUE
EGY,FALSE,FALSE,FALSE
ERI,TRUE,TRUE,FALSE
ESP,FALSE,FALSE,FALSE
EST,FALSE,FALSE,FALSE
ETH,TRUE,TRUE,TRUE
FIN,FALSE,FALSE,FALSE
FJI,FALSE,FALSE,FALSE
FRA,FALSE,FALSE,FALSE
FSM,FALSE,FALSE,FALSE
GAB,FALSE,FALSE,TRUE
GBR,FALSE,FALSE,FALSE
GEO,FALSE,FALSE,FALSE
GHA,TRUE,TRUE,TRUE
GIN,TRUE,TRUE,TRUE
GMB,FALSE,TRUE,TRUE
GNB,TRUE,TRUE,TRUE
GNQ,FALSE,FALSE,TRUE
GRC,FALSE,FALSE,FALSE
GRD,FALSE,FALSE,FALSE
GTM,FALSE,FALSE,FALSE
GUY,FALSE,FALSE,TRUE
HND,FALSE,FALSE,FALSE
HRV,FALSE,FALSE,FALSE
HTI,TRUE,FALSE,FALSE
HUN,FALSE,FALSE,FALSE
IDN,FALSE,FALSE,FALSE
IND,TRUE,FALSE,FALSE
IRL,FALSE,FALSE,FALSE
IRN,TRUE,FALSE,FALSE
IRQ,TRUE,FALSE,FALSE
ISL,FALSE,FALSE,FALSE
ISR,FALSE,FALSE,FALSE
ITA,FALSE,FALSE,FALSE
JAM,FALSE,FALSE,FALSE
JOR,FALSE,FALSE,FALSE
JPN,FALSE,FALSE,FALSE
KAZ,FALSE,FALSE,FALSE
KEN,TRUE,TRUE,TRUE
KGZ,FALSE,FALSE,FALSE
KHM,FALSE,FALSE,FALSE
KIR,FALSE,FALSE,FALSE
KNA,FALSE,FALSE,FALSE
KOR,FALSE,FALSE,FALSE
KWT,FALSE,FALSE,FALSE
LAO,FALSE,FALSE,FALSE
LBN,FALSE,FALSE,FALSE
LBR,TRUE,FALSE,TRUE
LBY,FALSE,FALSE,FALSE
LCA,FALSE,FALSE,FALSE
LKA,FALSE,FALSE,FALSE
LSO,FALSE,FALSE,FALSE
LTU,FALSE,FALSE,FALSE
LUX,FALSE,FALSE,FALSE
LVA,FALSE,FALSE,FALSE
MAR,FALSE,FALSE,FALSE
MCO,FALSE,FALSE,FALSE
MDA,FALSE,FALSE,FALSE
MDG,FALSE,FALSE,FALSE
MDV,FALSE,FALSE,FALSE
MEX,FALSE,FALSE,FALSE
MHL,FALSE,FALSE,FALSE
MKD,FALSE,FALSE,FALSE
MLI,TRUE,TRUE,TRUE
MLT,FALSE,FALSE,FALSE
MMR,TRUE,FALSE,FALSE
MNE,FALSE,FALSE,FALSE
MNG,FALSE,FALSE,FALSE
MOZ,TRUE,FALSE,FALSE
MRT,FALSE,TRUE,FALSE
MUS,FALSE,FALSE,FALSE
MWI,TRUE,FALSE,FALSE
MYS,TRUE,FALSE,FALSE
NAM,TRUE,FALSE,FALSE
NER,TRUE,TRUE,TRUE
NGA,TRUE,TRUE,TRUE
NIC,FALSE,FALSE,FALSE
NIU,FALSE,FALSE,FALSE
NLD,FALSE,FALSE,FALSE
NOR,FALSE,FALSE,FALSE
NPL,TRUE,FALSE,FALSE
NRU,FALSE,FALSE,FALSE
NZL,FALSE,FALSE,FALSE
OMN,FALSE,FALSE,FALSE
PAK,TRUE,FALSE,FALSE
PAN,FALSE,FALSE,TRUE
PER,FALSE,FALSE,TRUE
PHL,TRUE,FALSE,FALSE
PLW,FALSE,FALSE,FALSE
PNG,TRUE,FALSE,FALSE
POL,FALSE,FALSE,FALSE
PRK,FALSE,FALSE,FALSE
PRT,FALSE,FALSE,FALSE
PRY,FALSE,FALSE,TRUE
QAT,FALSE,FALSE,FALSE
ROU,FALSE,FALSE,FALSE
RUS,FALSE,FALSE,FALSE
RWA,FALSE,TRUE,FALSE
SAU,FALSE,FALSE,FALSE
SDN,TRUE,TRUE,TRUE
SEN,FALSE,TRUE,TRUE
SGP,FALSE,FALSE,FALSE
SLB,FALSE,FALSE,FALSE
SLE,TRUE,FALSE,TRUE
SLV,FALSE,FALSE,FALSE
SMR,FALSE,FALSE,FALSE
SOM,TRUE,FALSE,FALSE
SRB,FALSE,FALSE,FALSE
SSD,TRUE,TRUE,TRUE
STP,FALSE,FALSE,FALSE
SUR,FALSE,FALSE,TRUE
SVK,FALSE,FALSE,FALSE
SVN,FALSE,FALSE,FALSE
SWE,FALSE,FALSE,FALSE
SWZ,FALSE,FALSE,FALSE
SYC,FALSE,FALSE,FALSE
SYR,FALSE,FALSE,FALSE
TCD,TRUE,TRUE,TRUE
TGO,TRUE,TRUE,TRUE
THA,TRUE,FALSE,FALSE
TJK,FALSE,FALSE,FALSE
TKM,FALSE,FALSE,FALSE
TLS,FALSE,FALSE,FALSE
TON,FALSE,FALSE,FALSE
TTO,FALSE,FALSE,TRUE
TUN,FALSE,FALSE,FALSE
TUR,FALSE,FALSE,FALSE
TUV,FALSE,FALSE,FALSE
TZA,TRUE,TRUE,FALSE
UGA,TRUE,TRUE,TRUE
UKR,FALSE,FALSE,FALSE
URY,FALSE,FALSE,FALSE
USA,FALSE,FALSE,FALSE
UZB,FALSE,FALSE,FALSE
VCT,FALSE,FALSE,FALSE
VEN,FALSE,FALSE,TRUE
VNM,FALSE,FALSE,FALSE
VUT,FALSE,FALSE,FALSE
WSM,FALSE,FALSE,FALSE
YEM,TRUE,FALSE,FALSE
ZAF,FALSE,FALSE,FALSE
ZMB,TRUE,FALSE,FALSE
ZWE,TRUE,FALSE,FALSE
