iso3,who_short_name_en,atrisk_yf,priority_yf,atrisk_cholera,atrisk_mena,priority_measles,hotspot19_cholera,hotspot20_cholera,hotspot21_cholera,hotspot22_cholera,hotspot23_cholera,priority_polio
ALA,Ã…land Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG,Afghanistan,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1
ALB,Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DZA,Algeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASM,American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AND,Andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO,Angola,1,1,1,NA,1,NA,NA,NA,NA,NA,1
AIA,Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATG,Antigua and Barbuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG,Argentina,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARM,Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABW,Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUS,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUT,Austria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZE,Azerbaijan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHS,Bahamas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHR,Bahrain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGD,Bangladesh,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1
BRB,Barbados,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,Belarus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEL,Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLZ,Belize,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEN,Benin,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
BMU,Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BTN,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOL,Bolivia (Plurinational State of),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
BES,"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIH,Bosnia and Herzegovina,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
BWA,Botswana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BVT,Bouvet Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA,Brazil,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
IOT,British Indian Ocean Territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VGB,British Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRN,Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGR,Bulgaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFA,Burkina Faso,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
BDI,Burundi,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
CIV,CÃ´te d'Ivoire,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
CPV,Cabo Verde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KHM,Cambodia,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
CMR,Cameroon,1,1,1,1,NA,NA,NA,NA,NA,NA,1
CAN,Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYM,Cayman Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAF,Central African Republic,1,1,NA,1,1,NA,NA,NA,NA,NA,NA
TCD,Chad,1,1,1,1,1,NA,NA,NA,NA,NA,1
CHL,Chile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HKG,"China, Hong Kong SAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAC,"China, Macao SAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TWN,"China, Province of Taiwan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CXR,Christmas Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCK,Cocos (Keeling) Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,Colombia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COM,Comoros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COG,Congo,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
COK,Cook Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRI,Costa Rica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRV,Croatia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUB,Cuba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUW,CuraÃ§ao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYP,Cyprus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CZE,Czechia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRK,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COD,Democratic Republic of the Congo,1,1,1,1,1,NA,NA,NA,NA,NA,1
DNK,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DJI,Djibouti,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
DMA,Dominica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOM,Dominican Republic,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
ECU,Ecuador,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
EGY,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLV,El Salvador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GNQ,Equatorial Guinea,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA
ERI,Eritrea,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
EST,Estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWZ,Eswatini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ETH,Ethiopia,1,1,1,1,1,NA,NA,NA,NA,NA,1
FLK,Falkland Islands (Malvinas),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRO,Faroe Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FJI,Fiji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIN,Finland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRA,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUF,French Guiana,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PYF,French Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATF,French Southern Territories,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAB,Gabon,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA
GMB,Gambia,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA
GEO,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEU,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHA,Ghana,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
GIB,Gibraltar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRC,Greece,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRL,Greenland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRD,Grenada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLP,Guadeloupe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
